Nombre químicos;MRSL
ACIDO FORMICO;Cumple
ACIDO ACETICO GLACIAL;Cumple
SAL COMUN;Cumple
HIDROSULFITO DE SODIO;Cumple
SAL MOLIDA EXTRA (NACL)/CLORUR;Cumple
LUFIBROL 2UD.PE LIQ(SIRRIX 2UD;Cumple
LYOPRINT RG-GR;Sin datos
UVITEX BMR LIQ;Sin datos
AGUA OXIGENADA AL 50%;Cumple
GAS ARGON P/SOLDADURA;Sin datos
LOCTITE 609.31 FIJA EJE RODA.;Sin datos
PINTURA ESMALTE NEGRO;Sin datos
PINTURA ESMALTE ALUMINIO ALTA/TEMPERATURA;Sin datos
PINTURA ESMALTE CELESTE.;Sin datos
THORGEL(DOSIS QUIMICA).;Sin datos
LOCTITE 771.64 NICK.ANTI SEIZ ;Sin datos
LOCTITE 222.31 TRABA TORNILLO;Sin datos
LOCTITE 401.40 ADHESIVO INSTANTANEO PRIMA 20GR;Sin datos
LOCTITE 988.53 METAL MAGIC FI;Sin datos
SOLUCION BUFFER PH 4.01.;Sin datos
SOLUCION BUFFER PH 7.01.;Sin datos
SOLUCION BUFFER PH 10.01.;Sin datos
AFLOJATODO ROST OFF SPRAY                                   ;Cumple
PASTA PARA SOLDAR;Sin datos
ALCOHOL INDUSTRIAL;Sin datos
BENCINA;Sin datos
LIMPIA CONTACTO;Sin datos
PINTURA BASE ZINCROMATO ANYPSA;Sin datos
THINER STANDAR;Sin datos
SOLDIMIX 10 MINUTOS;Sin datos
SILICONA ABRO 1200;Sin datos
THINER ACRILICO;Sin datos
GLICERINA 99.5% P.A.;Sin datos
OXIGENO INDUSTRIAL;Sin datos
HYDROSOIL SR;Cumple
ALCOHOL ISOPROPILICO;Sin datos
THINER ACRILICO;Sin datos
TEROKAL DE 1/4 GL;Sin datos
SODIO CLORURO FOR ANALYSIS;Cumple
SOLVENTE ST (DIELECTRICO);Sin datos
GRASA STABURAGS NBU 30 PTM;No cumple
TALCO PARA FAJA FUSIONADORA;Sin datos
PERMATEX (FORMADOR DE EMPAQUETADURA);Sin datos
SAPOLIO LAVAVAJILLA EN POLVO;Sin datos
PEGAMENTO NARANJA OATEY CPVC  1/4;Sin datos
SILIGEN SIH LIQ;Cumple
DI- SODIO HIDROGENOFOSFATO ANHIDRO P.A.;Sin datos
PASTA ESMERIL NOVARUNDUM;Sin datos
LIQ. DE LIMPIEZA TEXTIL;Sin datos
LOCTITE 495;Sin datos
ENDURECEDOR DE EMULSION HB-76;Sin datos
TERASIL ROJO W4BS 150%(NUEVO2)LABOR;Sin datos
DETERGENTE ARIEL X 1 KG ;Sin datos
LIQUIDO DESMANCHADOR;No cumple
ALCOHOL ISOPROPILICO;Sin datos
SEIFOL AC/H;Cumple
LEVELEN PES/N // PERMULSIN CPP;Cumple
CONTAVAN GAL;Sin datos
PINTURA ESMALTE COLOR BLANCO;Sin datos
PINTURA ESMALTE COLOR ROJO;Sin datos
FELOSAN NFG;Cumple
LUSTRAFFIN LF;Cumple
LEOMIN AFC.PE LIQ;Cumple
PINTURA ESMALTE AMARILLO TRAFICO;Sin datos
ACEITE HIDRAULICO TELLUS 68;Sin datos
BIAVIN BPA;Cumple
TERASIL AMLLO W6GS(NUEVO3LABOR;Sin datos
BEIZYM BPM 300;Cumple
COTOBLANC PCA;Cumple
TEROKAL DE 1 GL;Sin datos
NEUTRACID NCS;Cumple
SARABID LDR;Sin datos
MEROPAN XRN PERLAS;Cumple
PETROLEO DIESEL DB5 S-50;Sin datos
RUCOFIN HHS;No cumple
TUBINGAL RNJ;Cumple
REAKNITT ECP NEW;No cumple
REAKNITT CAT FS/CHT CATALYSTFS;Cumple
ACEITE CHAIN LUBE XHT3000 SPRAY 500ML ADINOL;Cumple
ACEITE ADDINOL TSM 400 SPRAY;Cumple
THIOTAN R PA;Cumple
FELOSAN FOX-LF;Cumple
LEUCOPHOR BMF LIQ;Sin datos
SODA CAUSTICA PERLAS(LABOR);Cumple
POLYAVIN PEN;Cumple
EM-FOT ULANO QLT X 1GL ;Sin datos
DIAZO PARA QLT(GL) ;Sin datos
SILICONA 3M EN SPRAY (Cod.Alter:FE3558);Sin datos
PINTURA SPRAY ALUMINIO;Sin datos
PINTURA SPRAY GRIS CLARO;Sin datos
PINTURA SPRAY NEGRO;Sin datos
ARKOFIX NZK LIQ;Cumple
APTECH B301-CL (POLIMERO DISPERSANTE);Cumple
APTECH B-S-CL (SULFITO);Sin datos
APTECH B-ACM-CL (AMINA);Cumple
PINTURA SPRAY BLANCO;Sin datos
ARRISTAN CPU;Cumple
TEXBRITE EBF250%;Cumple
THREEPHOR BY3B CONC NEW;Sin datos
APT ECH BS-CL;Sin datos
APT ECH BOLC-STX;Cumple
BICARBONATO DE SODIO;Cumple
RAPIDOPRINT XR GRANULAT;Cumple
CHT-ALGINATO NV-10;Cumple
ANTIMUSSOL UDF.BR LIQ.;Cumple
PINTURA SPRAY AZUL ELECTRICO;Sin datos
RENOIR AQUA CA001S;Sin datos
MEROPAN OJ;Cumple
ALCOHOL ISOPROPILICO;Sin datos
PINTURA SPRAY ROJO;Sin datos
RUCOFIN 9406 LF CONC;Cumple
SOLUSOFT L-VC LIQ(SILIGEN SOFT;Cumple
HELPAPON OS;Cumple
HELPAFIX ECO;Sin datos
ACIDO FOSFORICO;Cumple
ACIDO ECOLOGICO DIAMANTE X 4 LTS;Sin datos
TUBINGAL FMP;Cumple
LEVELEN NSG LIQ;Sin datos
UNISILKON L 50/2 75 GRS;Cumple
QUITAMANCHAS TEXTIL EN POLVO PSR (ALBACHEM) NRO.1062 354GR;Sin datos
ARRISTAN HM;Cumple
VARIOBLEACH 3E;Cumple
ALBATEX AB-55;Sin datos
LOCTITE 495 ADHESIVO INSTANTANEO SUPERBONDER(1OZ;Sin datos
ACEITE GEAR OIL F ISO 220 X 20 LT;Sin datos
GRASA ADDISIL EXTEMP 2 ENVASE POR 1KG;Sin datos
TUBINGAL GSI;Cumple
SEIFOL SDH;Cumple
PASTA REFRIGERANTE MARCA MIYACO X 80 GRS;Sin datos
SILIGEN EH1 LIQ;No cumple
GRASA G10;Sin datos
GRASA G11;Sin datos
GRASA G12;Sin datos
CLEAR SCREEN ABRIDOR DE MALLAS;Sin datos
THINNER ACRILICO EXTRA;Sin datos
SNF ADHETEX CK x KG;Sin datos
JABÓN LÍQUIDO;Sin datos
SILICONA ABRO ROJA PARA ALTA TEMPERATURA 736;Sin datos
LUSTRAFFIN AS;Cumple
PROBADOR DE DUREZA APTECH R-9254 0.5 LT;Sin datos
COTOBLANC SEL;Cumple
ALBAFLOW CIR;Cumple
JABON DE GLICERINA NATURAL 90GR.;Sin datos
PINTURA LATEX PATO COLOR BLANCO X 4 GLNES;Sin datos
TANEX NOVECO;Cumple
SYNOZOL ULTRA YELLOW DS;Sin datos
EVERACID AMARILLO N-MR A.C.;Sin datos
EVERACID AZUL N-RL;Sin datos
ISYS AG;Cumple
TXP CORE VIOLETA;Cumple
SILICONA ABRO ROJA PARA ALTA TEMPERATURA 2400;Sin datos
SILSOFT 60 / ALFALINA 346;Sin datos
SILICONA PAQ.DE 25 ( 250MMX200MM );Sin datos
PINTURA ESMALTE AMARILLO MD;Sin datos
PINTURA ESMALTE GRIS CLARO;Sin datos
ACEITE LUBRICANTE PROMAX TEX-WHITE 32(CILINDR200LTS) GRADO32;Cumple
CLEANER REGGIANI ARIA;Cumple
SOLUCION STD. DQO MARCA HACH;Sin datos
GEL ANTIBACTERIAL;Sin datos
INK REGGIANI ARIA  CYAN DE110C;Sin datos
INK REGGIANI ARIA BLUE DE160B;Cumple
INK REGGIANI ARIA MAGENTA DE120M;Sin datos
INK REGGIANI ARIA YELLOW DE130Y;Cumple
INK REGGIANI ARIA BLACK DE100K;Cumple
SYNOZOL AZUL TURQUESA HFG165%;Sin datos
TXP CORE AZUL MARINO;Cumple
TXP CORE VERDE;Cumple
TXP 3D SHARPEDGE ADDITIVE;Sin datos
TXP CURABLE REDUCER PLUS ;Sin datos
TXP 3D MIX BASE PLUS 200;Sin datos
AGATE KY BLACK;Cumple
PINTURA GRIS OSCURO GLOSS;Sin datos
ELZYME P100;Cumple
ELQUEST M500;Sin datos
LEVELEN NSG (POLVO);Sin datos
CATALASE BF;Cumple
PAFIX N01;No cumple
SARABID OL;Cumple
ACEITE ADDINOL WEAVE OIL XHS 290 20L ;Cumple
ASUBLANC E-NS NEW;Cumple
ASULAK E-NS NEW;Cumple
ASUPRINT E-PGE-FF;Cumple
AMARILLO ASUPRINT E-YL ;Sin datos
ROJO ASUPRINT E-RA;Sin datos
ROSA BRILLANTE E-B;Sin datos
PINTURA GLOSS GRIS CLARO;Sin datos
CATALIZADOR E-FF;Sin datos
CLEAR E-PG A.C (ESPESANTE);Sin datos
PERSOFTAL L;Cumple
ASUPRINT E-PS;Cumple
ASUPRET E-POL/P;Cumple
AZUL MARINO ASUPRINT E-NB;Sin datos
ROJO ASUPRINT E-BBK;Sin datos
DIGITEX 110;Sin datos
PRINTPERFEKT EX-AR (PUFF);Cumple
PEGAMENTO EXTRAFUERTE CELIMA 25KG;Sin datos
EMULSION QTX 3D ;Sin datos
TERASIL AZUL WW-2GS;Sin datos
EVERACID PARDO ROJIZO NV;Sin datos
DACID PRO;Cumple
ACEITE LUBRICANTE PROMAX - MAXLUB-MA-95EP - BALDE 20L;Sin datos
UVITEX BHA;Sin datos
LIMPIA CONTACTOS (SPRAY) MARCA VISTONY;Sin datos
EGASOL MD;Sin datos
NEUTRACID BO 45;Sin datos
EVERSET AMARILLO M-2R;Sin datos
EVERSET AZUL M-2R;Sin datos
EVERSET BURDEOS M-B;Sin datos
PINTURA BASE ZINCROMATO COLOR GRISS;Sin datos
ACEITE LUBRICANTE PROMAX TEX-WHITE 46 (20 LTS) GRADO46;Sin datos
PEGAMENTO PVC OATEY  AZUL 32 OZ;Sin datos
ELDET CB 70;No cumple
SYN.YELLOWKE/HB(NVO21;Cumple
THREEPHOR BYB-L5B;Cumple
SAL RECRISTALIZADA PDV;Cumple
TXP SUPER COTTON WHITE 200;Cumple
REMAZOL SUPER BLACK SAM;Sin datos
TONAFIN ROS;Cumple
ASUPRINT NAVY BLUE ECO BS;Sin datos
THREEPHOR BYB CON 150% NEW;Cumple
CECOLITE CPA 166%;Sin datos
UREA GRANULADA;Cumple
DRIM. AZUL HF-RL;Cumple
PINTURA GLOSS CELESTE;Sin datos
TAURUS BLACK;Sin datos
REGGIANI AQUA PREMIUM MAGENTA RA520M;Cumple
REGGIANI AQUA PREM ORANGE RA540O;Cumple
REGG.AQ.PR.RED RA550R(RED1);Cumple
REGGIANI AQUA PREMIUM GREY RA570G;Sin datos
REGGIANI AQUA PREMIUM LIGHT MAGENTA RA590LM;Cumple
AFLOJATODO WD-40 SPRAY;Sin datos
SET-REACTIVO NITROGENO-AMONIACAL;Sin datos
